2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 0, 'terminal': 2}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 3, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 4, 'edges': 4, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | analysis.auto_flagger | [auto_flagger] x_in_chain=1 circular=1 broken_ref=1
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | analysis.auto_flagger | [auto_flagger] x_in_chain=0 circular=0 broken_ref=0
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 1 patterns (50.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 1 patterns (50.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 1 patterns (50.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 2 patterns (0.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 2 patterns (0.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 2 cells → 1 patterns (50.0% reduction)
2026-05-26 13:30:07 | INFO     | analysis.deduplicator | [deduplicator] 1 cells → 1 patterns (0.0% reduction)
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:07 | INFO     | analysis.enricher | [enricher] Enriched 2 cells
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Tier 1 done: 2 cells, 1 calls, 1 issues
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Tier 2 done: 5 cells, 1 calls, 1 issues
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Cross-section done: 2 terminal cells, 1 issues
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Tier 1 done: 1 cells, 1 calls, 0 issues
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Tier 2 done: 1 cells, 1 calls, 0 issues
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Total: 0 issues, 2 LLM calls
2026-05-26 13:30:07 | WARNING  | llm.reviewer | [llm_reviewer] Attempt 1 failed (timeout), retrying...
2026-05-26 13:30:07 | INFO     | llm.reviewer | [llm_reviewer] Tier 1 done: 1 cells, 1 calls, 0 issues
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'P&L', 'symbols': 5}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'DCF', 'symbols': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 7, 'sheets': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 2, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 2, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 0}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'P&L', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Balance', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'DCF', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 3, 'sheets': 3}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'WithData', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Empty', 'symbols': 0}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 1, 'sheets': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'P&L', 'symbols': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 2, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 2, 'sheets_ok': 1, 'skipped': []}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 1, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 1, 'sheets_ok': 1, 'skipped': []}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 1, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 1, 'sheets_ok': 1, 'skipped': []}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'MissingSheet', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 2, 'sheets': 2}
2026-05-26 13:30:08 | WARNING  | core.model_parser | [model_parser] Sheet in map not in model — skipping: MissingSheet
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 1, 'sheets_ok': 1, 'skipped': ['MissingSheet']}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'Sheet1', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 1, 'sheets': 1}
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 1, 'sheets_ok': 1, 'skipped': []}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'P&L', 'symbols': 2}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Sheet parsed: {'sheet': 'DCF', 'symbols': 1}
2026-05-26 13:30:08 | INFO     | core.map_parser | [map_parser] Complete: {'total_symbols': 3, 'sheets': 2}
2026-05-26 13:30:08 | INFO     | core.model_parser | [model_parser] Parsed: {'cells': 3, 'sheets_ok': 2, 'skipped': []}
2026-05-26 13:30:08 | INFO     | reporting.propagator | [propagator] 1 issues propagated to 1+ cells
2026-05-26 13:30:08 | INFO     | reporting.propagator | [propagator] 0 issues propagated to 0+ cells
2026-05-26 13:30:08 | INFO     | reporting.propagator | [propagator] 0 issues propagated to 0+ cells
2026-05-26 13:30:09 | INFO     | reporting.propagator | [propagator] 0 issues propagated to 0+ cells
2026-05-26 13:30:09 | INFO     | reporting.propagator | [propagator] 1 issues propagated to 1+ cells
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 3 issues, 3 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 2 issues, 2 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 0 issues, 0 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | reporting.generator | [report_generator] Report built: 1 issues, 1 cells affected
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 6, 'edges': 5, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 2, 'edges': 1, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.risk_scorer | [risk_scorer] Scored 1 cells: min=30.40 max=30.40 avg=30.40
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 4, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.risk_scorer | [risk_scorer] Scored 1 cells: min=30.40 max=30.40 avg=30.40
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'P&L', 'timeline_row': 1, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': 1, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': 'A', 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': None, 'sections': 1}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': None, 'sections': 2}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'Sheet1', 'timeline_row': None, 'label_col': None, 'sections': 1}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'P&L', 'timeline_row': None, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'DCF', 'timeline_row': None, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.structure_detector | [structure_detector] {'sheet': 'BS', 'timeline_row': None, 'label_col': None, 'sections': 0}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 4, 'edges': 6, 'terminal': 1}
2026-05-26 13:30:09 | INFO     | core.dependency_graph | [dependency_graph] Built: {'nodes': 3, 'edges': 2, 'terminal': 1}
